Name,Cost_for_2,Address,About,Type,Facilities,Contact,Cuisine,Latitude,Longitude,Stars,Vote_Count,Review_Count
Burger Point,2500,"MGF Metropolitan Mall, Shop 12, 12 A, Ground Floor, District Centre Saket Near Cast You Office South Delhi 110017",No_About,"Dineout Pay, Casual Dining, Delhi Operational, Hottest in Town","['Air Conditioned', 'Lift', 'Wifi', 'Parking', 'Cards Accepted']",07982685517,"['North', 'Indian,', 'Mughlai']",28.529992,77.219953,4.3,27,6
ICGC Food Factory,1500,"13C, 3rd Floor, Northwest Avenue, Club Road Punjabi Bagh Near Anytime Fitness West Delhi 110026","X Pins Down offers an outgoing ambience. The place serves an impressive range of North Indian and Continental cuisine at affordable prices. One can visit at X Pins Down be assured of having a wonderful and fun time with friends. It is located in Punjabi Bagh, West Delhi and stands near Anytime Fitness. Read less","Lounge, Dineout Pay, Nightlife, Curfew","['Smoking Area', 'Air Conditioned', 'DJ', 'Lift', 'Valet Available', 'Serves Alcohol', 'Parking', 'Games', 'Take Away', 'Cards Accepted', 'Full Bar Available', 'Dance Floor', 'Screening', 'Wallet Accepted']",011-47046502,"['North', 'Indian,', 'Chinese,', 'Fast', 'Food']",28.666476,77.125759,4.3,133,12
Moire Cafe Lounge & Bar,1000,"E 1, Third Floor, Kalkaji Main Market Kalkaji Opposite Dena Bank South Delhi 110019",No_About,"Cafe, Dineout Pay","['Air Conditioned', 'Lift', 'Parking', 'Cards Accepted', 'Alcohol Free Bar', 'Outdoor Seating', 'Wallet Accepted']",09911537444,"['North', 'Indian,', 'Italian,', 'Fast', 'Food']",28.542304,77.253449,3.6,161,34
Kalkagarh Foods,1500,"Unit no. 240-241, First Floor, DLF Avenue Saket Near Forest Essentials South Delhi 110017","Laidback Cafe is where a world of casual culinary treats combines with an easy laidback feeling, that's unmistakably from Shalom. It diligently serves specialty flavors of North Indian, Mediterranean , Thai, Chinese and Italian cuisine and cafe classics like Sandwiches and Burgers. It serves what's probably the best mix of laid-back-easy-peasy dining options in the city. This casual dining restaurant offers an affordable menu, which is liked by one and all. The inviting ambiance and music of the cafe makes it a must-visit for food lovers. Laidback Cafe is located in Saket, South Delhi and stands near Forest Essentials Store. Read less","Cafe, Dineout Pay, Delhi Operational, Hottest in Town","['Air Conditioned', 'Lift', 'Wifi', 'Home Delivery', 'Parking', 'Cards Accepted', 'Amex Accepted', 'Screening', 'Wallet Accepted']",No_Contact,"['Multi-Cuisine,', 'North', 'Indian,', 'Italian,', 'Mediterranean,', 'Asian']",28.528005,77.216865,4.5,123,18
Gossip House,1500,"DLF Promenade Mall, 2nd Floor, 3, Nelson Mandela Marg Vasant Kunj Near Pandit Deendayal Upadhyaya Urja Bhawan South Delhi 110070","Mamagoto is a one-stop destination for all your cravings for a variety of cuisines that are served to you keeping the taste and quality intact. The Chinese, Thai, Japanese, Asian cuisines promises to take you on a flavorful ride. The courteous staff works round the clock to make sure you get a soothing experience. The fun South East Asian café that spawned a rash of ‘inspirations’ across the city! Though there’s everything from across the region, go in for the meal in a bowl. Our favourite is the Street Vendor’s Penang Curry Bowl that is enough for two people with less hearty appetites. The pocket-friendly menu is in line with the chic-classic ambiance. An addition to the list is an exotic collection of signature drinks that you cannot afford to miss. It is one of the most suited places for social gatherings and family get together on a dining table full of sumptuous meals. Mamagoto is located in Vasant Kunj inside DLF Promenade. Read less","Dineout Pay, Casual Dining, Future Vouchers, Safe To Eat Out, Contactless Dining, Delhi Operational","['Rock Shrimp Tempura, Hot Basil Chicken Cups, Chiang Mai Train Station Noodles, Robata Grill']",08588842162,"['Asian,', 'Chinese,', 'Thai,', 'Japanese']",28.541986,77.155979,4.4,387,37
Havemore,900,"EDM Mall, Ground Floor Kaushambi Near Maruti Suzuki Showroom Ghaziabad 201001","Pizza Hut is the leading affordable casual dining restaurant brand in India and was the first international restaurant chain to pioneer this category in India. The restaurant brand offers an eclectic menu consisting of its signature pizzas, appetizers, pasta, desserts, and beverages. The place is known for its trademark dine-in services that they provide. There are about 138 outlets located across the country and this one is located in EDM Mall in Kaushambi, Ghaziabad. Read less",QSR,No_Facilities,0120-60009000,"['Pizza,', 'Italian']",28.641343,77.317165,4,9,3
X Pins Down,500,"PP Trade Centre,16-17, Ground Floor Netaji Subhash Place Near Kalyan Jewellers North Delhi 110034",Wheat Basket is a quick service restaurant with a lively and vibrant ambience. The menu serves mouth...  Read more,"Cafe, Dineout Pay, Bakery, Curfew",No_Facilities,011-42175222,"['Fast', 'Food,', 'Bakery', 'and', 'Confectionary,', 'Desserts']",28.693665,77.148744,4.4,40,6
Chumbakia Cafe and Bar,1400,"F-90, Vishal Enclave Rajouri Garden Opposite TDI Paragon Mall West Delhi 110018",No_About,"Dineout Pay, Casual Dining, Bar, Delhi Operational, Hottest in Town","['Smoking Area', 'Air Conditioned', 'DJ', 'Lift', 'Valet Available', 'Serves Alcohol', 'Parking', 'Take Away', 'Cards Accepted', 'Full Bar Available', 'Outdoor Seating', 'Roof Top', 'Wallet Accepted']",09990910236,['Multi-Cuisine'],28.652303,77.120479,4.5,18,3
Laidback Cafe,1500,"32, 1st Floor, Basant Lok Market Vasant Vihar Near PVR Priya Complex South Delhi 110057","High Street Kitchen & Bar is located in Vasant Vihar and the nearest landmark is PVR Priya. This casual dining restaurant assures you of good times, cost-efficient menu and most importantly good food. The varied dishes that you get in the offered North Indian, Italian, and Chinese cuisine give you an at home taste. To complement the tasty dishes, High Street Kitchen & Bar encompasses an equally pleasant ambiance that just completes your dining out experience. An addition to the offering is a well-set bar. It is an ideal place to spend time with your friends and have an eventful day. Read less","Lounge, Dineout Pay, Nightlife, Curfew","['Smoking Area', 'Air Conditioned', 'Wifi', 'Serves Alcohol', 'Parking', 'Cards Accepted', 'Amex Accepted', 'Full Bar Available', 'Screening', 'Wallet Accepted']",011-26156695,"['North', 'Indian,', 'Italian,', 'Chinese']",28.5577,77.163395,4.5,2,0
Mamagoto,400,"Gurunanakpura, B-31/125, Gali 4, Mangal Bazar Road Laxmi Nagar Near ICICI Bank East Delhi 110092","Aashirwad Restaurant is a quick service restaurant that is winning the hearts of all foodies! It offers delicious North Indian and authentic Chinese cuisine with a wide variety of dishes. It has a cozy ambience that perfectly matches with its theme. The lighting and presentation of the out of this world! The staff is energetic and polite. The place is very hygienic, clean and neat. They use traditional methods of cooking to make the dishes tasty and healthy. It is a great place to enjoy a meal with your family and friends. Aashirwad Restaurant, in Laxmi Nagar East Delhi, is a must-visit for all! Read less","Pure Veg, QSR","['Home Delivery', 'Take Away', 'Wallet Accepted']",011-41112703,"['North', 'Indian,', 'Chinese']",28.63673,77.284878,,0,0
